table_name,constraint_name,definition
businesses,businesses_user_id_fkey,FOREIGN KEY (user_id) REFERENCES users(id) ON DELETE CASCADE
user_subscriptions,user_subscriptions_plan_id_fkey,FOREIGN KEY (plan_id) REFERENCES subscription_plans(id)
user_subscriptions,user_subscriptions_user_id_fkey,FOREIGN KEY (user_id) REFERENCES users(id) ON DELETE CASCADE
tasks,tasks_creator_id_fkey,FOREIGN KEY (creator_id) REFERENCES users(id) ON DELETE SET NULL
tasks,tasks_lifecycle_phase_id_fkey,FOREIGN KEY (lifecycle_phase_id) REFERENCES lifecycle_phases(id)
task_runs,task_runs_business_id_fkey,FOREIGN KEY (business_id) REFERENCES businesses(id) ON DELETE SET NULL
task_runs,task_runs_harness_run_id_fkey,FOREIGN KEY (harness_run_id) REFERENCES harness_runs(id) ON DELETE SET NULL
task_runs,task_runs_run_id_fkey,FOREIGN KEY (run_id) REFERENCES playbook_runs(id) ON DELETE SET NULL
task_runs,task_runs_task_id_fkey,FOREIGN KEY (task_id) REFERENCES tasks(id) ON DELETE RESTRICT
task_runs,task_runs_user_id_fkey,FOREIGN KEY (user_id) REFERENCES users(id) ON DELETE CASCADE
task_purchases,task_purchases_business_id_fkey,FOREIGN KEY (business_id) REFERENCES businesses(id) ON DELETE SET NULL
task_purchases,task_purchases_task_id_fkey,FOREIGN KEY (task_id) REFERENCES tasks(id) ON DELETE RESTRICT
task_purchases,task_purchases_user_id_fkey,FOREIGN KEY (user_id) REFERENCES users(id) ON DELETE CASCADE
business_context,business_context_business_id_fkey,FOREIGN KEY (business_id) REFERENCES businesses(id) ON DELETE CASCADE
business_context,business_context_user_id_fkey,FOREIGN KEY (user_id) REFERENCES users(id) ON DELETE CASCADE
email_queue,email_queue_approved_by_fkey,FOREIGN KEY (approved_by) REFERENCES users(id)
email_queue,email_queue_business_id_fkey,FOREIGN KEY (business_id) REFERENCES businesses(id) ON DELETE CASCADE
email_queue,email_queue_task_run_id_fkey,FOREIGN KEY (task_run_id) REFERENCES task_runs(id) ON DELETE SET NULL
email_queue,email_queue_user_id_fkey,FOREIGN KEY (user_id) REFERENCES users(id) ON DELETE CASCADE
business_assets,business_assets_business_id_fkey,FOREIGN KEY (business_id) REFERENCES businesses(id) ON DELETE CASCADE
business_assets,business_assets_task_run_id_fkey,FOREIGN KEY (task_run_id) REFERENCES task_runs(id) ON DELETE SET NULL
stream_events,stream_events_business_id_fkey,FOREIGN KEY (business_id) REFERENCES businesses(id) ON DELETE CASCADE
stream_events,stream_events_run_id_fkey,FOREIGN KEY (run_id) REFERENCES playbook_runs(id) ON DELETE CASCADE
business_goals,business_goals_business_id_fkey,FOREIGN KEY (business_id) REFERENCES businesses(id) ON DELETE CASCADE
charge_windows,charge_windows_business_id_fkey,FOREIGN KEY (business_id) REFERENCES businesses(id) ON DELETE CASCADE
milestones,milestones_business_id_fkey,FOREIGN KEY (business_id) REFERENCES businesses(id) ON DELETE CASCADE
lesson_completions,lesson_completions_lesson_id_fkey,FOREIGN KEY (lesson_id) REFERENCES lessons(id) ON DELETE CASCADE
lesson_completions,lesson_completions_user_id_fkey,FOREIGN KEY (user_id) REFERENCES users(id) ON DELETE CASCADE
badges,badges_lesson_id_fkey,FOREIGN KEY (lesson_id) REFERENCES lessons(id) ON DELETE CASCADE
badge_earnings,badge_earnings_badge_id_fkey,FOREIGN KEY (badge_id) REFERENCES badges(id) ON DELETE CASCADE
badge_earnings,badge_earnings_user_id_fkey,FOREIGN KEY (user_id) REFERENCES users(id) ON DELETE CASCADE
marketing_carousels,marketing_carousels_business_id_fkey,FOREIGN KEY (business_id) REFERENCES businesses(id) ON DELETE CASCADE
marketing_carousels,marketing_carousels_user_id_fkey,FOREIGN KEY (user_id) REFERENCES users(id) ON DELETE CASCADE
business_subscriptions,business_subscriptions_business_id_fkey,FOREIGN KEY (business_id) REFERENCES businesses(id) ON DELETE CASCADE
business_subscriptions,business_subscriptions_user_id_fkey,FOREIGN KEY (user_id) REFERENCES users(id) ON DELETE CASCADE
token_balances,token_balances_business_id_fkey,FOREIGN KEY (business_id) REFERENCES businesses(id) ON DELETE CASCADE
token_balances,token_balances_user_id_fkey,FOREIGN KEY (user_id) REFERENCES users(id) ON DELETE CASCADE
token_transactions,token_transactions_business_id_fkey,FOREIGN KEY (business_id) REFERENCES businesses(id) ON DELETE CASCADE
token_transactions,token_transactions_task_run_id_fkey,FOREIGN KEY (task_run_id) REFERENCES task_runs(id)
token_transactions,token_transactions_user_id_fkey,FOREIGN KEY (user_id) REFERENCES users(id) ON DELETE CASCADE
token_purchases,token_purchases_business_id_fkey,FOREIGN KEY (business_id) REFERENCES businesses(id) ON DELETE CASCADE
